step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,amount_bucket,origin_balance_change,origin_balance_mismatch,destination_balance_change,destination_balance_mismatch,high_risk_type_flag,large_transaction_flag,fraud_signal_score,risk_category
140,CASH_OUT,285073.76,C1243325987,229352.64,0.0,C653737184,0.0,285073.76,0,0,100K-1M,229352.64,True,0.0,True,True,False,3,High Risk
402,CASH_OUT,204657.38,C1319437678,5093.0,0.0,C1983611293,911883.62,1116541.0,0,0,100K-1M,5093.0,True,0.0,True,True,False,3,High Risk
184,CASH_OUT,27554.1,C1632235813,0.0,0.0,C2106154212,154247.81,181801.91,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
210,CASH_OUT,100950.61,C1696293785,0.0,0.0,C424584166,3946646.29,4047596.9,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
140,CASH_OUT,42737.06,C791832067,0.0,0.0,C1495466286,409890.88,364619.44,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
164,CASH_OUT,119690.45,C1233999903,863.0,0.0,C1511598070,6937051.36,7056741.81,0,0,100K-1M,863.0,True,0.0,True,True,False,3,High Risk
207,CASH_OUT,69515.54,C2066319960,0.0,0.0,C222181847,199041.51,268557.05,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
381,CASH_OUT,47826.82,C1230129947,13605.0,0.0,C2009526750,1416741.38,1464568.2,0,0,10K-100K,13605.0,True,0.0,True,True,False,3,High Risk
202,CASH_OUT,153847.94,C1039112100,11420.0,0.0,C1229358465,388733.22,542581.16,0,0,100K-1M,11420.0,True,0.0,True,True,False,3,High Risk
129,CASH_OUT,226463.13,C460645908,57504.63,0.0,C763329998,3240210.07,3284831.03,0,0,100K-1M,57504.63,True,0.0,True,True,False,3,High Risk
308,TRANSFER,18216809.87,C154435424,0.0,0.0,C769342184,39734418.95,57951228.82,0,0,1M+,0.0,True,0.0,True,True,True,4,High Risk
137,CASH_OUT,27130.54,C1975140119,20945.0,0.0,C433618746,9300.06,36430.61,0,0,10K-100K,20945.0,True,0.0,True,True,False,3,High Risk
261,CASH_OUT,156933.76,C325363005,10275.0,0.0,C726571813,68653.06,225586.81,0,0,100K-1M,10275.0,True,0.0,True,True,False,3,High Risk
233,TRANSFER,592443.66,C891276919,592443.66,0.0,C1845646246,0.0,0.0,1,0,100K-1M,592443.66,False,0.0,True,True,True,3,High Risk
13,CASH_OUT,559123.89,C1023757490,5554.0,0.0,C1766776273,0.0,559123.89,0,0,100K-1M,5554.0,True,0.0,True,True,True,4,High Risk
160,CASH_OUT,44737.16,C791524968,0.0,0.0,C1458664387,886935.12,931672.28,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
284,TRANSFER,1466187.45,C502728579,0.0,0.0,C1210547818,2115114.62,3581302.06,0,0,1M+,0.0,True,0.0,True,True,True,4,High Risk
24,TRANSFER,79045.48,C1930271660,1589.0,0.0,C462805514,202677.34,281722.82,0,0,10K-100K,1589.0,True,0.0,True,True,False,3,High Risk
34,CASH_OUT,35257.66,C1928212359,5506.0,0.0,C608741097,3504862.81,3540120.47,0,0,10K-100K,5506.0,True,0.0,True,True,False,3,High Risk
188,CASH_OUT,196141.2,C1890878122,0.0,0.0,C542301147,255700.85,451842.05,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
167,CASH_OUT,147638.22,C1029119065,0.0,0.0,C2107640169,2155342.88,2302981.1,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
307,CASH_OUT,152211.0,C1536042726,0.0,0.0,C53986574,595533.78,747744.79,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
179,CASH_OUT,548098.63,C71277599,5187.0,0.0,C1419584725,508296.96,1405692.27,0,0,100K-1M,5187.0,True,0.0,True,True,True,4,High Risk
206,CASH_OUT,187518.08,C1731730910,52816.0,0.0,C277755718,0.0,187518.08,0,0,100K-1M,52816.0,True,0.0,True,True,False,3,High Risk
328,CASH_OUT,99072.97,C664126309,17803.0,0.0,C1975968269,0.0,99072.97,0,0,10K-100K,17803.0,True,0.0,True,True,False,3,High Risk
420,TRANSFER,625428.07,C1395706112,0.0,0.0,C478295703,9214035.56,9839463.63,0,0,100K-1M,0.0,True,0.0,True,True,True,4,High Risk
256,TRANSFER,531829.38,C1064487410,22284.41,0.0,C33154341,841805.75,1717663.11,0,0,100K-1M,22284.41,True,0.0,True,True,True,4,High Risk
212,CASH_OUT,348519.95,C1911729121,0.0,0.0,C1663542190,3367848.14,3716368.09,0,0,100K-1M,0.0,True,0.0,True,True,False,3,High Risk
594,CASH_OUT,123980.94,C1316432697,8123.0,0.0,C1949275801,1645410.83,1769391.77,0,0,100K-1M,8123.0,True,0.0,True,True,False,3,High Risk
350,CASH_OUT,239022.35,C1222655319,198725.0,0.0,C249388158,169848.23,408870.57,0,0,100K-1M,198725.0,True,0.0,True,True,False,3,High Risk
349,CASH_OUT,58733.31,C1733055027,0.0,0.0,C46198098,123017.0,181750.31,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
252,TRANSFER,1521939.76,C1856208585,89630.0,0.0,C272132049,103535.25,1625475.01,0,0,1M+,89630.0,True,0.0,True,True,True,4,High Risk
186,CASH_OUT,71757.42,C981250020,0.0,0.0,C1851472723,98064.98,169822.4,0,0,10K-100K,0.0,True,0.0,True,True,False,3,High Risk
